ErrorName,ErrorCode,ErrorOrdinal
DollarSliceInvalidValueSecondArg,M0043,148
DollarSliceInvalidTypeThirdArg,M0044,149
DollarSliceInvalidValueThirdArg,M0045,150
DollarSliceInvalidSignThirdArg,M0046,151
Location28745,M0047,152
Location28746,M0048,153
Location28747,M0049,154
Location28748,M004A,155
Location28749,M004B,156
DollarLogArgumentMustBeNumeric,M004C,157
DollarLogBaseMustBeNumeric,M004D,158
DollarLogNumberMustBePositive,M004E,159
DollarLogBaseMustBeGreaterThanOne,M004F,160
DollarLog10MustBePositiveNumber,M004G,161
DollarPowBaseMustBeNumeric,M004H,162
DollarPowExponentMustBeNumeric,M004I,163
DollarPowExponentInvalidForZeroBase,M004J,164
Location28765,M004K,165
DollarLnMustBePositiveNumber,M004L,166
Location28769,M004M,167
Location28803,M004N,168
Location28808,M004O,169
Location28809,M004P,170
Location28810,M004Q,171
Location28811,M004R,172
Location28812,M004S,173
Location28818,M004T,174
Location28822,M004U,175
KeyCannotContainNullByte,M004V,176
Location31002,M004W,177
Location31022,M004X,178
Location31023,M004Y,179
Location31024,M004Z,180
Location31034,M0050,181
Location31095,M0051,182
Location31109,M0052,183
Location31119,M0053,184
Location31120,M0054,185
Location31138,M0055,186
Location31249,M0056,187
Location31250,M0057,188
Location31253,M0058,189
Location31254,M0059,190
Location31256,M005A,191
Location31271,M005B,192
Location31276,M005C,193
Location31308,M005D,194
Location31325,M005E,195
Location31393,M005F,196
Location31395,M005G,197
Location34435,M005H,198
Location31441,M005I,199
Location34443,M005J,200
Location34444,M005K,201
Location34445,M005L,202
Location34446,M005M,203
Location34447,M005N,204
Location34448,M005O,205
Location34449,M005P,206
Location34450,M005Q,207
Location34451,M005R,208
Location34452,M005S,209
Location34453,M005T,210
Location34454,M005U,211
Location34455,M005V,212
Location34460,M005W,213
Location34461,M005X,214
Location34462,M005Y,215
Location34463,M005Z,216
Location34464,M0060,217
Location34465,M0061,218
Location34466,M0062,219
Location34467,M0063,220
Location34468,M0064,221
Location34471,M0065,222
Location34473,M0066,223
DollarSwitchRequiresObject,M0067,224
DollarSwitchRequiresArrayForBranches,M0068,225
DollarSwitchRequiresObjectForEachBranch,M0069,226
DollarSwitchUnknownArgumentForBranch,M006A,227
DollarSwitchRequiresCaseExpressionForBranch,M006B,228
DollarSwitchRequiresThenExpressionForBranch,M006C,229
DollarSwitchNoMatchingBranchAndNoDefault,M006D,230
DollarSwitchBadArgument,M006E,231
DollarSwitchRequiresAtLeastOneBranch,M006F,232
Location40075,M006G,233
Location40076,M006H,234
Location40077,M006I,235
Location40078,M006J,236
Location40079,M006K,237
Location40080,M006L,238
DollarInRequiresArray,M006M,239
Location40085,M006N,240
Location40086,M006O,241
Location40087,M006P,242
Location40090,M006Q,243
Location40091,M006R,244
Location40092,M006S,245
Location40093,M006T,246
Location40094,M006U,247
Location40096,M006V,248
Location40097,M006W,249
Location40100,M006X,250
Location40101,M006Y,251
Location40102,M006Z,252
Location40103,M0070,253
Location40104,M0071,254
Location40105,M0072,255
Location40147,M0073,256
Location40156,M0074,257
Location40158,M0075,258
Location40160,M0076,259
Location40169,M0077,260
Location40177,M0078,261
Location40185,M0079,262
Location40191,M007A,263
Location40192,M007B,264
Location40193,M007C,265
Location40194,M007D,266
Location40195,M007E,267
Location40196,M007F,268
Location40197,M007G,269
Location40198,M007H,270
Location40199,M007I,271
Location40200,M007J,272
Location40201,M007K,273
Location40202,M007L,274
Location40218,M007M,275
Location40228,M007N,276
Location40234,M007O,277
Location40238,M007P,278
Location40272,M007Q,279
Location40319,M007R,280
Location40321,M007S,281
Location40323,M007T,282
UnrecognizedCommand,M007U,283
Location40352,M007V,284
DollarArrayToObjectRequiresArray,M007W,285
DollarObjectToArrayRequiresObject,M007X,286
DollarArrayToObjectAllMustBeObjects,M007Y,287
DollarArrayToObjectIncorrectNumberOfKeys,M007Z,288
DollarArrayToObjectRequiresObjectWithKAndV,M0080,289
DollarArrayToObjectObjectKeyMustBeString,M0081,290
DollarArrayToObjectArrayKeyMustBeString,M0082,291
DollarArrayToObjectAllMustBeArrays,M0083,292
DollarArrayToObjectIncorrectArrayLength,M0084,293
DollarArrayToObjectBadInputTypeFormat,M0085,294
DollarMergeObjectsInvalidType,M0086,295
Location40414,M0087,296
UnknownBsonField,M0088,297
Location40485,M0089,298
Location40489,M008A,299
Location40515,M008B,300
Location40516,M008C,301
Location40517,M008D,302
Location40518,M008E,303
Location40519,M008F,304
Location40520,M008G,305
Location40521,M008H,306
Location40522,M008I,307
Location40523,M008J,308
Location40524,M008K,309
Location40525,M008L,310
Location40533,M008M,311
Location40535,M008N,312
Location40536,M008O,313
Location40539,M008P,314
Location40540,M008Q,315
Location40541,M008R,316
Location40542,M008S,317
Location40600,M008T,318
Location40601,M008U,319
Location40602,M008V,320
Location40603,M008W,321
Location40235,M008X,322
Location40237,M008Y,323
ChangeStreamBadResumeToken,M008Z,324
Location40684,M0090,325
Location50694,M0091,326
Location50695,M0092,327
Location50696,M0093,328
Location50699,M0094,329
Location50700,M0095,330
Location50723,M0096,331
Location50752,M0097,332
Location50759,M0098,333
Location51024,M0099,334
Location51047,M009A,335
Location51074,M009B,336
Location51075,M009C,337
DollarRoundOverflowInt64,M009D,338
DollarRoundFirstArgMustBeNumeric,M009E,339
DollarRoundPrecisionMustBeIntegral,M009F,340
DollarRoundPrecisionOutOfRange,M009G,341
Location51091,M009H,342
Location51103,M009I,343
Location51104,M009J,344
Location51105,M009K,345
Location51106,M009L,346
Location51107,M009M,347
Location51108,M009N,348
Location51109,M009O,349
Location51110,M009P,350
Location51111,M009Q,351
Location51132,M009R,352
Location51134,M009S,353
Location51151,M009T,354
Location51156,M009U,355
Location51178,M009V,356
Location51183,M009W,357
Location51185,M009X,358
Location51186,M009Y,359
Location51187,M009Z,360
Location51191,M00A0,361
Location51246,M00A1,362
Location51276,M00A2,363
Location51247,M00A3,364
Location51743,M00A4,365
Location51744,M00A5,366
Location51745,M00A6,367
Location51746,M00A7,368
Location51747,M00A8,369
Location51748,M00A9,370
Location51749,M00AA,371
Location51750,M00AB,372
Location51751,M00AC,373
Location327391,M00AD,374
Location327392,M00AE,375
DollarIfNullRequiresAtLeastTwoArgs,M00AF,376
DollarRandNonEmptyArgument,M00AG,377
IntermediateResultTooLarge,M00AH,378
DollarSetFieldRequiresObject,M00AI,379
DollarSetFieldUnknownArgument,M00AJ,380
Location2942500,M00AK,381
Location2942501,M00AL,382
Location2942502,M00AM,383
Location2942503,M00AN,384
Location2942504,M00AO,385
Location2942505,M00AP,386
Location2942506,M00AQ,387
Location3041701,M00AR,388
Location3041702,M00AS,389
Location3041703,M00AT,390
Location4161102,M00AU,391
Location4161103,M00AV,392
Location4161104,M00AW,393
Location4161105,M00AX,394
Location4161106,M00AY,395
Location4161107,M00AZ,396
Location4161108,M00B0,397
Location4161109,M00B1,398
Location4890500,M00B2,399
Location4940400,M00B3,400
Location4940401,M00B4,401
Location5166400,M00B5,402
Location5166401,M00B6,403
Location5166402,M00B7,404
Location5166403,M00B8,405
Location5166404,M00B9,406
Location5166405,M00BA,407
Location5166406,M00BB,408
Location5107200,M00BC,409
Location5107201,M00BD,410
Location5166301,M00BE,411
Location5166302,M00BF,412
Location5166303,M00BG,413
Location5166304,M00BH,414
Location5166305,M00BI,415
Location5166307,M00BJ,416
Location5339900,M00BK,417
Location5339901,M00BL,418
Location5339902,M00BM,419
Location5429413,M00BN,420
Location5429414,M00BO,421
Location5429513,M00BP,422
Location5439007,M00BQ,423
Location5439008,M00BR,424
Location5439009,M00BS,425
Location5439010,M00BT,426
Location5439012,M00BU,427
Location5439013,M00BV,428
Location5439014,M00BW,429
Location5439015,M00BX,430
Location5439016,M00BY,431
Location5439017,M00BZ,432
Location5439018,M00C0,433
Location5626500,M00C1,434
Location5654600,M00C2,435
Location5654601,M00C3,436
Location5654602,M00C4,437
Location5687301,M00C5,438
Location5687302,M00C6,439
Location5687400,M00C7,440
Location5687401,M00C8,441
Location5746102,M00C9,442
Location5787801,M00CA,443
Location5787900,M00CB,444
Location5787901,M00CC,445
Location5787902,M00CD,446
Location5787903,M00CE,447
Location5787906,M00CF,448
Location5787907,M00CG,449
Location5787908,M00CH,450
Location5788200,M00CI,451
Location5858203,M00CJ,452
Location5976500,M00CK,453
Location5371601,M00CL,454
Location5371602,M00CM,455
Location5371603,M00CN,456
DocumentFailedValidation,M00CO,457
Location605001,M00CP,458
Location6050106,M00CQ,459
Location16990,M00CR,460
Location13111,M00CS,461
Location5788001,M00CT,462
Location5788002,M00CU,463
Location5788003,M00CV,464
Location5788004,M00CW,465
Location5788005,M00CX,466
Location5733201,M00CY,467
Location5733401,M00CZ,468
Location5733402,M00D0,469
Location5733403,M00D1,470
Location5733406,M00D2,471
Location5733408,M00D3,472
Location5733409,M00D4,473
Location5876900,M00D5,474
Location5897900,M00D6,475
Location5946802,M00D7,476
Location6007200,M00D8,477
Location6053600,M00D9,478
Location6586400,M00DA,479
Location8993000,M00DB,480
Location5423900,M00DC,481
Location5423901,M00DD,482
Location5423902,M00DE,483
Location5490710,M00DF,484
Location5624900,M00DG,485
Location5624901,M00DH,486
Location6050202,M00DI,487
Location6050204,M00DJ,488
Location5788604,M00DK,489
Location31170,M00DL,490
Location31465,M00DM,491
Location40181,M00DN,492
InvalidLength,M00DO,493
Location15998,M00DP,494
Location40229,M00DQ,495
UserCountLimitExceeded,M00DR,496
Location55,M00DS,497
Location40236,M00DT,498
Location17053,M00DU,499
Location7429703,M00DV,500
Location7436100,M00DW,501
Location7750301,M00DX,502
Location7750302,M00DY,503
Location7750303,M00DZ,504
Location51003,M00E0,505
Location7749501,M00E1,506
Location5860402,M00E2,507
Location7555701,M00E3,508
Location7555702,M00E4,509
Location3041704,M00E5,510
