count,current_wait_state,method_name,next_wait_state
3,QueueingResponse,FinishTransaction,ResponseQueued
5,QueueingResponse,GetDatabaseInfo,ResponseQueued
5,QueueingResponse,GetTServerUUID,ResponseQueued
1,QueueingResponse,GetTransactionStatus,ResponseQueued
43,QueueingResponse,Heartbeat,ResponseQueued
16,QueueingResponse,Heartbeat,ResponseTransferred
1,QueueingResponse,ListLiveTabletServers,ResponseQueued
154,QueueingResponse,OpenTable,ResponseQueued
23,QueueingResponse,OpenTable,ResponseTransferred
30427,QueueingResponse,Perform,ResponseQueued
9047,QueueingResponse,Perform,ResponseTransferred
17592,QueueingResponse,Read,ResponseQueued
6003,QueueingResponse,Read,ResponseTransferred
11,QueueingResponse,RunLeaderElection,ResponseQueued
7,QueueingResponse,RunLeaderElection,ResponseTransferred
4,QueueingResponse,Truncate,ResponseQueued
2,QueueingResponse,TruncateTable,ResponseQueued
2595,QueueingResponse,UpdateTransaction,ResponseQueued
965,QueueingResponse,UpdateTransaction,ResponseTransferred
2593,QueueingResponse,Write,ResponseQueued
846,QueueingResponse,Write,ResponseTransferred
118,ResponseQueued,ActiveUniverseHistory,ResponseTransferred
3,ResponseQueued,FinishTransaction,ResponseTransferred
5,ResponseQueued,GetDatabaseInfo,ResponseTransferred
5,ResponseQueued,GetTServerUUID,ResponseTransferred
1,ResponseQueued,GetTransactionStatus,ResponseTransferred
28,ResponseQueued,Heartbeat,ResponseTransferred
1,ResponseQueued,ListLiveTabletServers,ResponseTransferred
131,ResponseQueued,OpenTable,ResponseTransferred
21743,ResponseQueued,Perform,ResponseTransferred
1,ResponseQueued,Perform,YBClientRpcsSent
11736,ResponseQueued,Read,ResponseTransferred
4,ResponseQueued,RunLeaderElection,ResponseTransferred
4,ResponseQueued,Truncate,ApplyDone
1,ResponseQueued,Truncate,ResponseTransferred
2,ResponseQueued,TruncateTable,ResponseTransferred
2585,ResponseQueued,UpdateTransaction,ApplyDone
299,ResponseQueued,UpdateTransaction,ResponseTransferred
1,ResponseQueued,UpdateTransaction,SubmittedUpdateTransactionToPreparer
2334,ResponseQueued,Write,ApplyDone
683,ResponseQueued,Write,ResponseTransferred
1,ResponseTransferred,ActiveUniverseHistory,ResponseQueued
1,ResponseTransferred,Heartbeat,ResponseQueued
365,ResponseTransferred,Perform,ResponseQueued
2,ResponseTransferred,Perform,YBClientRpcsSent
147,ResponseTransferred,Read,ResponseQueued
10,ResponseTransferred,UpdateTransaction,ApplyDone
1,ResponseTransferred,UpdateTransaction,PrepareAndStart
1,ResponseTransferred,UpdateTransaction,ResponseQueued
4,ResponseTransferred,UpdateTransaction,SubmittedUpdateTransactionToPreparer
261,ResponseTransferred,Write,ApplyDone
2,ResponseTransferred,Write,ResponseQueued
2,ResponseTransferred,Write,SubmittedWriteToPreparer
4,StartFlush,DeleteFile
7,StartFlush,OpenFile
173,StartFlush,Unused
3,SubmittedTruncateToPreparer,Truncate,PrepareAndStart
1,SubmittedUpdateTransactionToPreparer,Applying
21,SubmittedUpdateTransactionToPreparer,PrepareAndStart
2,SubmittedUpdateTransactionToPreparer,UpdateTransaction,AddedToLeader
29,SubmittedUpdateTransactionToPreparer,UpdateTransaction,Applying
1511,SubmittedUpdateTransactionToPreparer,UpdateTransaction,PrepareAndStart
5,SubmittedUpdateTransactionToPreparer,UpdateTransaction,QueueingResponse
1,SubmittedUpdateTransactionToPreparer,UpdateTransaction,ResponseTransferred
15,SubmittedWriteToPreparer,Write,AddedToLeader
12,SubmittedWriteToPreparer,Write,Applying
1650,SubmittedWriteToPreparer,Write,PrepareAndStart
1,SubmittedWriteToPreparer,Write,QueueingResponse
945,SubmittingToRaft,Write,PrepareAndStart
2573,SubmittingToRaft,Write,SubmittedWriteToPreparer
17,TabletLookupFinished,Perform,QueueingResponse
30784,TabletLookupFinished,Perform,YBClientRpcsSent
64018,Unused,Created
184,Unused,StartFlush
7,WriteToFile,CloseFile
30770,YBClientRpcsSent,Perform,QueueingResponse
2,YBClientRpcsSent,Perform,ResponseTransferred
